Index,Output,Golden,input_text,output_text,label_space,label_verbalizer,verbalized_label
126,A,A,Determine which option can be inferred from the given Sentence.  Sentence: Cuba suspects [Gross] is a [spy] . Options: A. [Gross] is a [spy] B. [Gross] has the religion [spy] C. [Gross] has the age [spy] D. [Gross] died because of [spy] E. [Gross] is convicted of [spy] F. [Gross] has no known relations to [spy]  Which option can be inferred from the given Sentence? Option:,A,"['A', 'B', 'C', 'D', 'E', 'F']","{'A': 'per:title', 'B': 'per:religion', 'C': 'per:age', 'D': 'per:cause_of_death', 'E': 'per:charges', 'F': 'no_relation'}",per:title
127,A,A,"Determine which option can be inferred from the given Sentence.  Sentence: [China] expects to produce approximately 460 million tons of crude steel this year , a steady growth of 10 percent over last year , according to the [State Development and Reform Commission] . Options: A. [State Development and Reform Commission] has a branch in the country [China] B. [State Development and Reform Commission] has the member [China] C. [State Development and Reform Commission] has a branch in the state or province [China] D. [State Development and Reform Commission] has a branch in the city [China] E. [State Development and Reform Commission] has no known relations to [China]  Which option can be inferred from the given Sentence? Option:",A,"['A', 'B', 'C', 'D', 'E']","{'A': 'org:country_of_branch', 'B': 'org:members', 'C': 'org:stateorprovince_of_branch', 'D': 'org:city_of_branch', 'E': 'no_relation'}",org:country_of_branch
128,B,G,Determine which option can be inferred from the given Sentence.  Sentence: Lomax said everyone thought [his] mother was crazy to take [her] children to Alabama as a single mother during segregation . Options: A. [his] is the identity/pronoun of [her] B. [his] and [her] are the same person C. [his] is the parent of [her] D. [his] is the spouse of [her] E. [his] is the siblings of [her] F. [his] is the other family member of [her] G. [his] has the parent [her] H. [his] has no known relations to [her]  Which option can be inferred from the given Sentence? Option:,G,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']","{'A': 'per:identity', 'B': 'per:identity', 'C': 'per:children', 'D': 'per:spouse', 'E': 'per:siblings', 'F': 'per:other_family', 'G': 'per:parents', 'H': 'no_relation'}",per:parents
129,C,A,"Determine which option can be inferred from the given Sentence.  Sentence: '' The mission of Fazlullah in Swat is the same as that of the Taliban in Afghanistan and other mujaheddin in Waziristan , '' said [Shah Abdul Aziz] , a former member of [Parliament] . Options: A. [Shah Abdul Aziz] is the employee of [Parliament] B. [Shah Abdul Aziz] studied in [Parliament] C. [Shah Abdul Aziz] has no known relations to [Parliament]  Which option can be inferred from the given Sentence? Option:",A,"['A', 'B', 'C']","{'A': 'per:employee_of', 'B': 'per:schools_attended', 'C': 'no_relation'}",per:employee_of
130,A,A,"Determine which option can be inferred from the given Sentence.  Sentence: Video TRIPOLI/THE HAGUE : [Ruben van Assouw] , the [nine-year-old] sole survivor of the Tripoli air crash , arrives back in the Netherlands at an undisclosed time and location ( LIBYA-AVIATION-CRASH ) Picture . Options: A. [Ruben van Assouw] has the age [nine-year-old] B. [Ruben van Assouw] has birthday on [nine-year-old] C. [Ruben van Assouw] died in the date [nine-year-old] D. [Ruben van Assouw] has no known relations to [nine-year-old]  Which option can be inferred from the given Sentence? Option:",A,"['A', 'B', 'C', 'D']","{'A': 'per:age', 'B': 'per:date_of_birth', 'C': 'per:date_of_death', 'D': 'no_relation'}",per:age
131,B,A,"Determine which option can be inferred from the given Sentence.  Sentence: Cuban authorities have continued to investigate [U.S.] contractor [Alan Gross] , arrested a year ago on espionage charges , Attorney General Dario Delgado said here on Wednesday . Options: A. [Alan Gross] lives in the country [U.S.] B. [Alan Gross] has the nationality [U.S.] C. [Alan Gross] is the employee of [U.S.] D. [Alan Gross] was born in the country [U.S.] E. [Alan Gross] died in the country [U.S.] F. [Alan Gross] lives in the city [U.S.] G. [Alan Gross] died in the city [U.S.] H. [Alan Gross] has no known relations to [U.S.]  Which option can be inferred from the given Sentence? Option:",A,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']","{'A': 'per:countries_of_residence', 'B': 'per:origin', 'C': 'per:employee_of', 'D': 'per:country_of_birth', 'E': 'per:country_of_death', 'F': 'per:cities_of_residence', 'G': 'per:city_of_death', 'H': 'no_relation'}",per:countries_of_residence
132,B,B,"Determine which option can be inferred from the given Sentence.  Sentence: The general assembly of the Organisation of Asia-Pacific News Agencies ( OANA ) is seeking to boost the quality of the 40 news agencies across 33 countries that comprise it , said incoming [OANA] head and chief of Indonesia 's state-run Antara news agency [Ahmad Mukhlis Yusuf] . Options: A. [OANA] was founded by [Ahmad Mukhlis Yusuf] B. [OANA] has the high level member [Ahmad Mukhlis Yusuf] C. [OANA] has shares hold in [Ahmad Mukhlis Yusuf] D. [OANA] has no known relations to [Ahmad Mukhlis Yusuf]  Which option can be inferred from the given Sentence? Option:",B,"['A', 'B', 'C', 'D']","{'A': 'org:founded_by', 'B': 'org:top_members/employees', 'C': 'org:shareholders', 'D': 'no_relation'}",org:top_members/employees
133,B,C,"Determine which option can be inferred from the given Sentence.  Sentence: Survivors include [his] wife , Sandra ; four sons , Jeff , [James] , Douglas and Harris ; a daughter , Leslie ; his mother , Sally ; and two brothers , Guy and Paul . Options: A. [his] is the identity/pronoun of [James] B. [his] and [James] are the same person C. [his] is the parent of [James] D. [his] is the spouse of [James] E. [his] is the siblings of [James] F. [his] is the other family member of [James] G. [his] has the parent [James] H. [his] has no known relations to [James]  Which option can be inferred from the given Sentence? Option:",C,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']","{'A': 'per:identity', 'B': 'per:identity', 'C': 'per:children', 'D': 'per:spouse', 'E': 'per:siblings', 'F': 'per:other_family', 'G': 'per:parents', 'H': 'no_relation'}",per:children
134,A,A,"Determine which option can be inferred from the given Sentence.  Sentence: [She] took [Scientology] classes on parenting and finance and later traveled to Los Angeles for counseling , called '' auditing . '' Options: A. [She] has the religion [Scientology] B. [She] has no known relations to [Scientology]  Which option can be inferred from the given Sentence? Option:",A,"['A', 'B']","{'A': 'per:religion', 'B': 'no_relation'}",per:religion
135,A,A,Determine which option can be inferred from the given Sentence.  Sentence: Members of the [Association of Chinese-American Scientists and Engineers] ( [ACSE] ) pledged on Saturday to further promote US-China cooperation and exchanges in science and technology field . Options: A. [Association of Chinese-American Scientists and Engineers] is also known as [ACSE] B. [Association of Chinese-American Scientists and Engineers] has the member [ACSE] C. [Association of Chinese-American Scientists and Engineers] is the member of [ACSE] D. [Association of Chinese-American Scientists and Engineers] has shares hold in [ACSE] E. [Association of Chinese-American Scientists and Engineers] has no known relations to [ACSE]  Which option can be inferred from the given Sentence? Option:,A,"['A', 'B', 'C', 'D', 'E']","{'A': 'org:alternate_names', 'B': 'org:members', 'C': 'org:member_of', 'D': 'org:shareholders', 'E': 'no_relation'}",org:alternate_names
136,B,B,"Determine which option can be inferred from the given Sentence.  Sentence: In the same hearing , three former Chongqing police officers -- Huang Daiqiang , Zhao Liming and [Chen Tao] -- received jail terms ranging from 17 and a half years to 20 years after being convicted on [corruption] charges . Options: A. [Chen Tao] died because of [corruption] B. [Chen Tao] is convicted of [corruption] C. [Chen Tao] has no known relations to [corruption]  Which option can be inferred from the given Sentence? Option:",B,"['A', 'B', 'C']","{'A': 'per:cause_of_death', 'B': 'per:charges', 'C': 'no_relation'}",per:charges
137,A,A,"Determine which option can be inferred from the given Sentence.  Sentence: They say [Vladimir Ladyzhenskiy] died [late Saturday] during the Sauna World Championships in southern Finland , while his Finnish rival Timo Kaukonen was rushed to a hospital . Options: A. [Vladimir Ladyzhenskiy] died in the date [late Saturday] B. [Vladimir Ladyzhenskiy] has birthday on [late Saturday] C. [Vladimir Ladyzhenskiy] has the age [late Saturday] D. [Vladimir Ladyzhenskiy] died because of [late Saturday] E. [Vladimir Ladyzhenskiy] has no known relations to [late Saturday]  Which option can be inferred from the given Sentence? Option:",A,"['A', 'B', 'C', 'D', 'E']","{'A': 'per:date_of_death', 'B': 'per:date_of_birth', 'C': 'per:age', 'D': 'per:cause_of_death', 'E': 'no_relation'}",per:date_of_death
138,A,A,"Determine which option can be inferred from the given Sentence.  Sentence: At [Tribeca Enterprises] , a sponsor of its namesake festival , the chief creative officer , Geoffrey Gilmore , in March joined the company 's co-founder [Jane Rosenthal] and others to announce a new distribution unit focused on video-on-demand -- where the dollars are small , but the potential audience is vast . Options: A. [Tribeca Enterprises] was founded by [Jane Rosenthal] B. [Tribeca Enterprises] has the high level member [Jane Rosenthal] C. [Tribeca Enterprises] has shares hold in [Jane Rosenthal] D. [Tribeca Enterprises] has no known relations to [Jane Rosenthal]  Which option can be inferred from the given Sentence? Option:",A,"['A', 'B', 'C', 'D']","{'A': 'org:founded_by', 'B': 'org:top_members/employees', 'C': 'org:shareholders', 'D': 'no_relation'}",org:founded_by
139,A,A,"Determine which option can be inferred from the given Sentence.  Sentence: There was just one problem : No mention was made of [Alan P. Gross] , an [American] from Potomac , Md. , who passed the holiday in a Cuban military facility , where he has been imprisoned for a year without trial because he tried to help Cuba 's Jews . Options: A. [Alan P. Gross] has the nationality [American] B. [Alan P. Gross] died in the country [American] C. [Alan P. Gross] is the employee of [American] D. [Alan P. Gross] lives in the country [American] E. [Alan P. Gross] was born in the city [American] F. [Alan P. Gross] was born in the country [American] G. [Alan P. Gross] was born in the state or province [American] H. [Alan P. Gross] has no known relations to [American]  Which option can be inferred from the given Sentence? Option:",A,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']","{'A': 'per:origin', 'B': 'per:country_of_death', 'C': 'per:employee_of', 'D': 'per:countries_of_residence', 'E': 'per:city_of_birth', 'F': 'per:country_of_birth', 'G': 'per:stateorprovince_of_birth', 'H': 'no_relation'}",per:origin
140,E,E,"Determine which option can be inferred from the given Sentence.  Sentence: [Gonzalez] is the brother of [Patricia Gonzalez] , who stepped down Oct 3 as attorney general of the border state of Chihuahua when a new governor took office . Options: A. [Gonzalez] is the identity/pronoun of [Patricia Gonzalez] B. [Gonzalez] and [Patricia Gonzalez] are the same person C. [Gonzalez] is the parent of [Patricia Gonzalez] D. [Gonzalez] is the spouse of [Patricia Gonzalez] E. [Gonzalez] is the siblings of [Patricia Gonzalez] F. [Gonzalez] is the other family member of [Patricia Gonzalez] G. [Gonzalez] has the parent [Patricia Gonzalez] H. [Gonzalez] has no known relations to [Patricia Gonzalez]  Which option can be inferred from the given Sentence? Option:",E,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']","{'A': 'per:identity', 'B': 'per:identity', 'C': 'per:children', 'D': 'per:spouse', 'E': 'per:siblings', 'F': 'per:other_family', 'G': 'per:parents', 'H': 'no_relation'}",per:siblings
141,A,A,"Determine which option can be inferred from the given Sentence.  Sentence: Among the factors driving the trend are the globalization of business and a wealth of cheap technology talent in emerging countries like India and China , which have younger populations and graduate far more engineers than the United States , said Peter A. Allen , partner and managing director at [TPI] , a [Houston] consulting firm that advises companies on outsourcing . Options: A. [TPI] has a branch in the city [Houston] B. [TPI] has the member [Houston] C. [TPI] has a branch in the state or province [Houston] D. [TPI] has a branch in the country [Houston] E. [TPI] has no known relations to [Houston]  Which option can be inferred from the given Sentence? Option:",A,"['A', 'B', 'C', 'D', 'E']","{'A': 'org:city_of_branch', 'B': 'org:members', 'C': 'org:stateorprovince_of_branch', 'D': 'org:country_of_branch', 'E': 'no_relation'}",org:city_of_branch
142,E,C,"Determine which option can be inferred from the given Sentence.  Sentence: Dozens of lightly regulated subprime lenders , including New Century Financial Corp. , have failed and troubled [Countrywide Financial Corp.] was acquired by [Bank of America Corp.] . Options: A. [Countrywide Financial Corp.] is also known as [Bank of America Corp.] B. [Countrywide Financial Corp.] has the member [Bank of America Corp.] C. [Countrywide Financial Corp.] is the member of [Bank of America Corp.] D. [Countrywide Financial Corp.] has shares hold in [Bank of America Corp.] E. [Countrywide Financial Corp.] has no known relations to [Bank of America Corp.]  Which option can be inferred from the given Sentence? Option:",C,"['A', 'B', 'C', 'D', 'E']","{'A': 'org:alternate_names', 'B': 'org:members', 'C': 'org:member_of', 'D': 'org:shareholders', 'E': 'no_relation'}",org:member_of
143,C,C,"Determine which option can be inferred from the given Sentence.  Sentence: The 200-pound ( 90-kilogram ) chimpanzee named Travis attacked Charla Nash of [Stamford] in February , ripping off [her] hands , nose , lips and eyelids . Options: A. [her] is the employee of [Stamford] B. [her] died in the city [Stamford] C. [her] lives in the city [Stamford] D. [her] was born in the city [Stamford] E. [her] has the nationality [Stamford] F. [her] lives in the state or province [Stamford] G. [her] lives in the country [Stamford] H. [her] has no known relations to [Stamford]  Which option can be inferred from the given Sentence? Option:",C,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']","{'A': 'per:employee_of', 'B': 'per:city_of_death', 'C': 'per:cities_of_residence', 'D': 'per:city_of_birth', 'E': 'per:origin', 'F': 'per:stateorprovinces_of_residence', 'G': 'per:countries_of_residence', 'H': 'no_relation'}",per:cities_of_residence
144,B,B,"Determine which option can be inferred from the given Sentence.  Sentence: [OANA] members include , to name just a few , Australia 's AAP , China 's Xinhua , India 's PTI , Indonesia 's [ANTARA] , Iran 's IRNA , Japan 's Kyodo and Jiji Press , Pakistan 's PPI and APP , Kazakhstan 's Kazinform , Kuwait 's KUNA , Mongolia 's MONTSAME , the Philippines ' PNA , Russia 's Itar-Tass and RIA , Saudi Arabia 's SPA , the Republic of Korea 's Yonhap , and Turkey 's Anadolu . Options: A. [OANA] is also known as [ANTARA] B. [OANA] has the member [ANTARA] C. [OANA] is the member of [ANTARA] D. [OANA] has shares hold in [ANTARA] E. [OANA] has no known relations to [ANTARA]  Which option can be inferred from the given Sentence? Option:",B,"['A', 'B', 'C', 'D', 'E']","{'A': 'org:alternate_names', 'B': 'org:members', 'C': 'org:member_of', 'D': 'org:shareholders', 'E': 'no_relation'}",org:members
145,B,A,"Determine which option can be inferred from the given Sentence.  Sentence: Calls to [Koch Foods] , based in the Chicago suburb of Park Ridge , [Illinois] , were unanswered . Options: A. [Koch Foods] has a branch in the state or province [Illinois] B. [Koch Foods] has a branch in the city [Illinois] C. [Koch Foods] has a branch in the country [Illinois] D. [Koch Foods] has the member [Illinois] E. [Koch Foods] has no known relations to [Illinois]  Which option can be inferred from the given Sentence? Option:",A,"['A', 'B', 'C', 'D', 'E']","{'A': 'org:stateorprovince_of_branch', 'B': 'org:city_of_branch', 'C': 'org:country_of_branch', 'D': 'org:members', 'E': 'no_relation'}",org:stateorprovince_of_branch
146,D,D,Determine which option can be inferred from the given Sentence.  Sentence: Clinton asks Jewish support to free worker in Cuba [Judy Gross] has said her [husband] had brought communications equipment intended only for humanitarian purposes and not for political use by Cuba 's small dissident community . Options: A. [husband] is the identity/pronoun of [Judy Gross] B. [husband] and [Judy Gross] are the same person C. [husband] is the parent of [Judy Gross] D. [husband] is the spouse of [Judy Gross] E. [husband] is the siblings of [Judy Gross] F. [husband] is the other family member of [Judy Gross] G. [husband] has the parent [Judy Gross] H. [husband] has no known relations to [Judy Gross]  Which option can be inferred from the given Sentence? Option:,D,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']","{'A': 'per:identity', 'B': 'per:identity', 'C': 'per:children', 'D': 'per:spouse', 'E': 'per:siblings', 'F': 'per:other_family', 'G': 'per:parents', 'H': 'no_relation'}",per:spouse
147,C,A,"Determine which option can be inferred from the given Sentence.  Sentence: Mailer resided in Provincetown , [Massachusetts] , with his wife of 33 years , [Norris Church Mailer] , and maintained an apartment in Brooklyn , New York . Options: A. [Norris Church Mailer] lives in the state or province [Massachusetts] B. [Norris Church Mailer] is the employee of [Massachusetts] C. [Norris Church Mailer] was born in the state or province [Massachusetts] D. [Norris Church Mailer] died in the state or province [Massachusetts] E. [Norris Church Mailer] lives in the city [Massachusetts] F. [Norris Church Mailer] died in the city [Massachusetts] G. [Norris Church Mailer] was born in the country [Massachusetts] H. [Norris Church Mailer] was born in the city [Massachusetts] I. [Norris Church Mailer] has no known relations to [Massachusetts]  Which option can be inferred from the given Sentence? Option:",A,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I']","{'A': 'per:stateorprovinces_of_residence', 'B': 'per:employee_of', 'C': 'per:stateorprovince_of_birth', 'D': 'per:stateorprovince_of_death', 'E': 'per:cities_of_residence', 'F': 'per:city_of_death', 'G': 'per:country_of_birth', 'H': 'per:city_of_birth', 'I': 'no_relation'}",per:stateorprovinces_of_residence
148,C,C,"Determine which option can be inferred from the given Sentence.  Sentence: [Urban League] member Raychelle Breaux is the current Miss Black Oklahoma USA [2009] , and will compete for Miss Black USA in August 2009 . Options: A. [Urban League] dissolved in [2009] B. [Urban League] was founded in [2009] C. [Urban League] has no known relations to [2009]  Which option can be inferred from the given Sentence? Option:",C,"['A', 'B', 'C']","{'A': 'org:dissolved', 'B': 'org:founded', 'C': 'no_relation'}",no_relation
149,A,A,"Determine which option can be inferred from the given Sentence.  Sentence: It was the second video released this week showing [attorney] [Mario Gonzalez] -- the brother of former state attorney general Patricia Gonzalez -- sitting in a chair , handcuffed and surrounded masked men pointing guns at him . Options: A. [Mario Gonzalez] is a [attorney] B. [Mario Gonzalez] has the religion [attorney] C. [Mario Gonzalez] has the age [attorney] D. [Mario Gonzalez] died because of [attorney] E. [Mario Gonzalez] is convicted of [attorney] F. [Mario Gonzalez] has no known relations to [attorney]  Which option can be inferred from the given Sentence? Option:",A,"['A', 'B', 'C', 'D', 'E', 'F']","{'A': 'per:title', 'B': 'per:religion', 'C': 'per:age', 'D': 'per:cause_of_death', 'E': 'per:charges', 'F': 'no_relation'}",per:title
150,A,A,"Determine which option can be inferred from the given Sentence.  Sentence: According to the [National Restaurant Association] , fast food restaurants in the [U.S.] will reach US$ 142 billion in sales in 2006 . Options: A. [National Restaurant Association] has a branch in the country [U.S.] B. [National Restaurant Association] has the member [U.S.] C. [National Restaurant Association] has a branch in the state or province [U.S.] D. [National Restaurant Association] has a branch in the city [U.S.] E. [National Restaurant Association] has no known relations to [U.S.]  Which option can be inferred from the given Sentence? Option:",A,"['A', 'B', 'C', 'D', 'E']","{'A': 'org:country_of_branch', 'B': 'org:members', 'C': 'org:stateorprovince_of_branch', 'D': 'org:city_of_branch', 'E': 'no_relation'}",org:country_of_branch
151,F,G,"Determine which option can be inferred from the given Sentence.  Sentence: R , 1999 , $ 3995 ; Blu-ray , $ 3995 By Amy Hitt WASHINGTON POST-BLOOMBERG -- 04-29-10 1138ET The basics : The late civil rights lawyer [William Kunstler] is profiled in this fascinating documentary made by his daughters , Emily and [Sarah Kunstler] . Options: A. [Sarah Kunstler] is the identity/pronoun of [William Kunstler] B. [Sarah Kunstler] and [William Kunstler] are the same person C. [Sarah Kunstler] is the parent of [William Kunstler] D. [Sarah Kunstler] is the spouse of [William Kunstler] E. [Sarah Kunstler] is the siblings of [William Kunstler] F. [Sarah Kunstler] is the other family member of [William Kunstler] G. [Sarah Kunstler] has the parent [William Kunstler] H. [Sarah Kunstler] has no known relations to [William Kunstler]  Which option can be inferred from the given Sentence? Option:",G,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']","{'A': 'per:identity', 'B': 'per:identity', 'C': 'per:children', 'D': 'per:spouse', 'E': 'per:siblings', 'F': 'per:other_family', 'G': 'per:parents', 'H': 'no_relation'}",per:parents
152,C,A,"Determine which option can be inferred from the given Sentence.  Sentence: Prosecutors believe Graham and two other [AIM] activists , Theda Clark and [Arlo Looking Cloud] , stopped at Marshall 's home on South Dakota 's Pine Ridge reservation with Aquash shortly before Graham shot her and left her to die . Options: A. [Arlo Looking Cloud] is the employee of [AIM] B. [Arlo Looking Cloud] studied in [AIM] C. [Arlo Looking Cloud] has no known relations to [AIM]  Which option can be inferred from the given Sentence? Option:",A,"['A', 'B', 'C']","{'A': 'per:employee_of', 'B': 'per:schools_attended', 'C': 'no_relation'}",per:employee_of
153,A,A,"Determine which option can be inferred from the given Sentence.  Sentence: [Joseph Cerniglia] , the [39-year-old] owner of an Italian eatery called Campania , was seen by viewers in the 2007 episode of '' Kitchen Nightmares '' being berated by Ramsay for sloppy service and poor food . Options: A. [Joseph Cerniglia] has the age [39-year-old] B. [Joseph Cerniglia] has birthday on [39-year-old] C. [Joseph Cerniglia] died in the date [39-year-old] D. [Joseph Cerniglia] has no known relations to [39-year-old]  Which option can be inferred from the given Sentence? Option:",A,"['A', 'B', 'C', 'D']","{'A': 'per:age', 'B': 'per:date_of_birth', 'C': 'per:date_of_death', 'D': 'no_relation'}",per:age
154,A,A,"Determine which option can be inferred from the given Sentence.  Sentence: Asked whether Cuba would consider a prisoner swap of the five agents for U.S. subcontractor [Alan Gross] , who has been in jail in [Cuba] for more than a year without charges , Alarcon said the two cases are separate and he expects charges against Gross to be filed . Options: A. [Alan Gross] lives in the country [Cuba] B. [Alan Gross] has the nationality [Cuba] C. [Alan Gross] is the employee of [Cuba] D. [Alan Gross] was born in the country [Cuba] E. [Alan Gross] died in the country [Cuba] F. [Alan Gross] lives in the city [Cuba] G. [Alan Gross] died in the city [Cuba] H. [Alan Gross] has no known relations to [Cuba]  Which option can be inferred from the given Sentence? Option:",A,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']","{'A': 'per:countries_of_residence', 'B': 'per:origin', 'C': 'per:employee_of', 'D': 'per:country_of_birth', 'E': 'per:country_of_death', 'F': 'per:cities_of_residence', 'G': 'per:city_of_death', 'H': 'no_relation'}",per:countries_of_residence
155,B,B,"Determine which option can be inferred from the given Sentence.  Sentence: Earlier this year , the new head of the [association] , [Dawn Sweeney] , met with Cecilia Munoz , a White House aide involved in the issue , and expressed interest in cooperating . Options: A. [association] was founded by [Dawn Sweeney] B. [association] has the high level member [Dawn Sweeney] C. [association] has shares hold in [Dawn Sweeney] D. [association] has no known relations to [Dawn Sweeney]  Which option can be inferred from the given Sentence? Option:",B,"['A', 'B', 'C', 'D']","{'A': 'org:founded_by', 'B': 'org:top_members/employees', 'C': 'org:shareholders', 'D': 'no_relation'}",org:top_members/employees
156,A,A,"Determine which option can be inferred from the given Sentence.  Sentence: Hainan would continue to run the Boao International Tourism Forum in a long term with the help of the United Nations World Tourism Organization ( UNWTO ) , the World Travel and Tourism Council ( WTTC ) , the [Pacific Asia Travel Association] ( [PATA] ) and the China National Tourism Administration ( CNTA ) , according to the Declaration . Options: A. [PATA] is also known as [Pacific Asia Travel Association] B. [PATA] has the member [Pacific Asia Travel Association] C. [PATA] is the member of [Pacific Asia Travel Association] D. [PATA] has shares hold in [Pacific Asia Travel Association] E. [PATA] has no known relations to [Pacific Asia Travel Association]  Which option can be inferred from the given Sentence? Option:",A,"['A', 'B', 'C', 'D', 'E']","{'A': 'org:alternate_names', 'B': 'org:members', 'C': 'org:member_of', 'D': 'org:shareholders', 'E': 'no_relation'}",org:alternate_names
157,B,B,"Determine which option can be inferred from the given Sentence.  Sentence: [Wen] , 55 , is charged with [bribery] , rape and gang affiliations . Options: A. [Wen] died because of [bribery] B. [Wen] is convicted of [bribery] C. [Wen] has no known relations to [bribery]  Which option can be inferred from the given Sentence? Option:",B,"['A', 'B', 'C']","{'A': 'per:cause_of_death', 'B': 'per:charges', 'C': 'no_relation'}",per:charges
158,A,A,"Determine which option can be inferred from the given Sentence.  Sentence: [UASR] was founded in 1989 by [Mousa abu Mazook] < http://wwwinvestigativeprojectorg/profile/106 > , who currently serves as the Deputy Chief of the HAMAS political bureau in Damascus , Syria , and has been listed as a Specially Designated Global Terrorist by the US government in 1995 . Options: A. [UASR] was founded by [Mousa abu Mazook] B. [UASR] has the high level member [Mousa abu Mazook] C. [UASR] has shares hold in [Mousa abu Mazook] D. [UASR] has no known relations to [Mousa abu Mazook]  Which option can be inferred from the given Sentence? Option:",A,"['A', 'B', 'C', 'D']","{'A': 'org:founded_by', 'B': 'org:top_members/employees', 'C': 'org:shareholders', 'D': 'no_relation'}",org:founded_by
159,A,A,Determine which option can be inferred from the given Sentence.  Sentence: A Haitian judge says [American] missionaries [Laura Silsby] and Charisa Coulter will remain in jail over the weekend as he awaits more testimony . Options: A. [Laura Silsby] has the nationality [American] B. [Laura Silsby] died in the country [American] C. [Laura Silsby] is the employee of [American] D. [Laura Silsby] lives in the country [American] E. [Laura Silsby] was born in the city [American] F. [Laura Silsby] was born in the country [American] G. [Laura Silsby] was born in the state or province [American] H. [Laura Silsby] has no known relations to [American]  Which option can be inferred from the given Sentence? Option:,A,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']","{'A': 'per:origin', 'B': 'per:country_of_death', 'C': 'per:employee_of', 'D': 'per:countries_of_residence', 'E': 'per:city_of_birth', 'F': 'per:country_of_birth', 'G': 'per:stateorprovince_of_birth', 'H': 'no_relation'}",per:origin
160,A,A,"Determine which option can be inferred from the given Sentence.  Sentence: [ADF] spokeswoman Marissa Smith said she did not know exactly how many of the company 's 20 restaurants in [New York City] had closed , but described it as '' a handful . '' Options: A. [ADF] has a branch in the city [New York City] B. [ADF] has the member [New York City] C. [ADF] has a branch in the state or province [New York City] D. [ADF] has a branch in the country [New York City] E. [ADF] has no known relations to [New York City]  Which option can be inferred from the given Sentence? Option:",A,"['A', 'B', 'C', 'D', 'E']","{'A': 'org:city_of_branch', 'B': 'org:members', 'C': 'org:stateorprovince_of_branch', 'D': 'org:country_of_branch', 'E': 'no_relation'}",org:city_of_branch
161,D,C,"Determine which option can be inferred from the given Sentence.  Sentence: The ministry refused to reveal the surname of the boy , who hails from the southern city of [Tilburg] , to protect the family 's privacy , but a regional daily newspaper said he was probably [Ruben van Assouw] . Options: A. [Ruben van Assouw] is the employee of [Tilburg] B. [Ruben van Assouw] died in the city [Tilburg] C. [Ruben van Assouw] lives in the city [Tilburg] D. [Ruben van Assouw] was born in the city [Tilburg] E. [Ruben van Assouw] has the nationality [Tilburg] F. [Ruben van Assouw] lives in the state or province [Tilburg] G. [Ruben van Assouw] lives in the country [Tilburg] H. [Ruben van Assouw] has no known relations to [Tilburg]  Which option can be inferred from the given Sentence? Option:",C,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']","{'A': 'per:employee_of', 'B': 'per:city_of_death', 'C': 'per:cities_of_residence', 'D': 'per:city_of_birth', 'E': 'per:origin', 'F': 'per:stateorprovinces_of_residence', 'G': 'per:countries_of_residence', 'H': 'no_relation'}",per:cities_of_residence
162,D,D,"Determine which option can be inferred from the given Sentence.  Sentence: She played the joke on her husband , [David] , who had been away on a trip ( the two wondered how [she] 'd look ) . Options: A. [she] is the identity/pronoun of [David] B. [she] and [David] are the same person C. [she] is the parent of [David] D. [she] is the spouse of [David] E. [she] is the siblings of [David] F. [she] is the other family member of [David] G. [she] has the parent [David] H. [she] has no known relations to [David]  Which option can be inferred from the given Sentence? Option:",D,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']","{'A': 'per:identity', 'B': 'per:identity', 'C': 'per:children', 'D': 'per:spouse', 'E': 'per:siblings', 'F': 'per:other_family', 'G': 'per:parents', 'H': 'no_relation'}",per:spouse
163,A,A,"Determine which option can be inferred from the given Sentence.  Sentence: The following day , group leader [Laura Silsby] of Meridian , [Idaho] , told the AP the children were obtained either from orphanages or from distant relatives . Options: A. [Laura Silsby] lives in the state or province [Idaho] B. [Laura Silsby] is the employee of [Idaho] C. [Laura Silsby] was born in the state or province [Idaho] D. [Laura Silsby] died in the state or province [Idaho] E. [Laura Silsby] lives in the city [Idaho] F. [Laura Silsby] died in the city [Idaho] G. [Laura Silsby] was born in the country [Idaho] H. [Laura Silsby] was born in the city [Idaho] I. [Laura Silsby] has no known relations to [Idaho]  Which option can be inferred from the given Sentence? Option:",A,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I']","{'A': 'per:stateorprovinces_of_residence', 'B': 'per:employee_of', 'C': 'per:stateorprovince_of_birth', 'D': 'per:stateorprovince_of_death', 'E': 'per:cities_of_residence', 'F': 'per:city_of_death', 'G': 'per:country_of_birth', 'H': 'per:city_of_birth', 'I': 'no_relation'}",per:stateorprovinces_of_residence
